"Date","Blr_Dsl","Chn_Dsl","Del_Dsl","Hyd_Dsl","Mub_Dsl","Blr_Ptr","Chn_Ptr","Del_Ptr","Hyd_Ptr","Mub_Ptr"
2020-01-01,"Same","Same","Same","Same","Same","Up","Up","Up","Up","Up"
2020-01-02,"Up","Up","Up","Up","Up","Up","Up","Up","Up","Up"
2020-01-03,"Up","Up","Up","Up","Up","Up","Up","Up","Up","Up"
2020-01-04,"Up","Up","Up","Up","Up","Up","Up","Up","Up","Up"
2020-01-05,"Up","Up","Up","Up","Up","Up","Up","Up","Up","Up"
2020-01-06,"Up","Up","Up","Up","Up","Up","Up","Up","Up","Up"
2020-01-07,"Up","Up","Up","Up","Up","Up","Up","Up","Up","Up"
2020-01-08,"Same","Same","Same","Same","Same","Down","Down","Down","Down","Down"
2020-01-09,"Up","Up","Up","Up","Up","Up","Up","Up","Up","Up"
2020-01-10,"Up","Up","Up","Up","Up","Up","Up","Up","Up","Up"
2020-01-11,"Up","Up","Up","Up","Up","Up","Up","Up","Up","Up"
2020-01-12,"Down","Down","Down","Down","Down","Down","Down","Down","Down","Down"
2020-01-13,"Down","Down","Down","Down","Down","Down","Down","Down","Down","Down"
2020-01-14,"Same","Same","Same","Same","Same","Down","Down","Down","Down","Down"
2020-01-15,"Same","Same","Same","Same","Same","Down","Down","Down","Down","Down"
2020-01-16,"Down","Down","Down","Down","Down","Down","Down","Down","Down","Down"
2020-01-17,"Down","Down","Down","Down","Down","Down","Down","Down","Down","Down"
2020-01-18,"Down","Down","Down","Down","Down","Down","Down","Down","Down","Down"
2020-01-19,"Down","Down","Down","Down","Down","Down","Down","Down","Down","Down"
2020-01-20,"Down","Down","Down","Down","Down","Down","Down","Down","Down","Down"
2020-01-21,"Down","Down","Down","Down","Down","Down","Down","Down","Down","Down"
2020-01-22,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-01-23,"Down","Down","Down","Down","Down","Down","Down","Down","Down","Down"
2020-01-24,"Down","Down","Down","Down","Down","Down","Down","Down","Down","Down"
2020-01-25,"Same","Same","Same","Same","Same","Down","Down","Down","Down","Down"
2020-01-26,"Down","Down","Down","Down","Down","Down","Down","Down","Down","Down"
2020-01-27,"Down","Down","Down","Down","Down","Down","Down","Down","Down","Down"
2020-01-28,"Down","Down","Down","Down","Down","Down","Down","Down","Down","Down"
2020-01-29,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-01-30,"Down","Down","Down","Down","Down","Down","Down","Down","Down","Down"
2020-01-30,"Same","Same","Same","Same","Same","Down","Down","Down","Down","Down"
2020-01-31,"Down","Down","Down","Down","Down","Down","Down","Down","Down","Down"
2020-02-01,"Down","Down","Down","Down","Down","Down","Down","Down","Down","Down"
2020-02-02,"Down","Down","Down","Down","Down","Down","Down","Down","Down","Down"
2020-02-03,"Down","Down","Down","Down","Down","Down","Down","Down","Down","Down"
2020-02-04,"Down","Down","Down","Down","Down","Same","Same","Same","Same","Same"
2020-02-05,"Same","Same","Same","Same","Same","Down","Down","Down","Down","Down"
2020-02-06,"Down","Down","Down","Down","Down","Down","Down","Down","Down","Down"
2020-02-07,"Down","Down","Down","Down","Down","Down","Down","Down","Down","Down"
2020-02-08,"Down","Down","Down","Down","Down","Down","Down","Down","Down","Down"
2020-02-09,"Same","Same","Same","Same","Same","Down","Down","Down","Down","Down"
2020-02-10,"Down","Down","Down","Down","Down","Down","Down","Down","Down","Down"
2020-02-11,"Down","Down","Down","Down","Down","Same","Same","Same","Same","Same"
2020-02-12,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-02-13,"Down","Down","Down","Down","Down","Same","Same","Same","Same","Same"
2020-02-14,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-02-15,"Down","Down","Down","Down","Down","Same","Same","Same","Same","Same"
2020-02-16,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-02-17,"Same","Same","Same","Same","Same","Down","Down","Down","Down","Down"
2020-02-18,"Down","Down","Down","Down","Down","Same","Same","Same","Same","Same"
2020-02-19,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-02-20,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-02-21,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-02-22,"Same","Same","Same","Same","Same","Up","Up","Up","Up","Up"
2020-02-23,"Same","Same","Same","Same","Same","Up","Up","Up","Up","Up"
2020-02-24,"Up","Up","Up","Up","Up","Same","Same","Same","Same","Same"
2020-02-25,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-02-26,"Same","Same","Same","Same","Same","Down","Down","Down","Down","Down"
2020-02-27,"Down","Down","Down","Down","Down","Same","Same","Same","Same","Same"
2020-02-28,"Down","Down","Down","Down","Down","Down","Down","Down","Down","Down"
2020-02-29,"Down","Down","Down","Down","Down","Down","Down","Down","Down","Down"
2020-03-01,"Down","Down","Down","Down","Down","Down","Down","Down","Down","Down"
2020-03-02,"Down","Down","Down","Down","Down","Down","Down","Down","Down","Down"
2020-03-03,"Down","Down","Down","Down","Down","Same","Same","Same","Same","Same"
2020-03-04,"Same","Same","Same","Same","Same","Down","Down","Down","Down","Down"
2020-03-05,"Down","Down","Down","Down","Down","Down","Down","Down","Down","Down"
2020-03-06,"Down","Down","Down","Down","Down","Down","Down","Down","Down","Down"
2020-03-07,"Down","Down","Down","Down","Down","Down","Down","Down","Down","Down"
2020-03-08,"Down","Down","Down","Down","Down","Down","Down","Down","Down","Down"
2020-03-09,"Down","Down","Down","Down","Down","Down","Down","Down","Down","Down"
2020-03-10,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-03-11,"Same","Same","Same","Same","Same","Down","Down","Down","Down","Down"
2020-03-12,"Down","Down","Down","Down","Down","Down","Down","Down","Down","Down"
2020-03-13,"Down","Down","Down","Down","Down","Down","Down","Down","Down","Down"
2020-03-14,"Down","Down","Down","Down","Down","Down","Down","Down","Down","Down"
2020-03-15,"Down","Down","Down","Down","Down","Down","Down","Down","Down","Down"
2020-03-16,"Down","Down","Down","Down","Down","Same","Same","Same","Same","Same"
2020-03-17,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-03-18,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-03-19,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-03-20,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-03-21,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-03-22,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-03-23,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-03-24,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-03-25,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-03-26,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-03-27,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-03-28,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-03-29,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-03-30,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-03-31,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-04-01,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-04-02,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-04-03,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-04-04,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-04-05,"Same","Same","Same","Same","Same","Up","Same","Same","Same","Up"
2020-04-06,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-04-07,"Up","Same","Same","Same","Up","Same","Same","Same","Same","Same"
2020-04-08,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-04-09,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-04-10,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-04-11,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-04-13,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-04-14,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-04-15,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-04-16,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-04-17,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-04-18,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-04-19,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-04-20,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-04-21,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-04-22,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-04-23,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-04-24,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-04-25,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-04-26,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-04-27,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-04-28,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-04-29,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-04-30,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-05-01,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-05-02,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-05-03,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-05-04,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-05-05,"Same","Up","Up","Same","Same","Same","Up","Up","Same","Same"
2020-05-06,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-05-07,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-05-08,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-05-09,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-05-10,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-05-11,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-05-12,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-05-13,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-05-14,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-05-15,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-05-16,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-05-17,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-05-18,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-05-19,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-05-20,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-05-21,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-05-22,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-05-23,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-05-24,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-05-25,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-05-26,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-05-27,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-05-28,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-05-29,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-05-30,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-05-31,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-06-01,"Same","Same","Same","Same","Up","Same","Same","Same","Same","Up"
2020-06-02,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-06-03,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-06-04,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-06-05,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-06-06,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-06-07,"Same","Same","Same","Same","Same","Up","Up","Up","Up","Up"
2020-06-08,"Same","Same","Same","Same","Same","Up","Up","Up","Up","Up"
2020-06-09,"Up","Up","Up","Up","Up","Up","Up","Up","Up","Up"
2020-06-10,"Up","Up","Up","Up","Up","Up","Up","Up","Up","Up"
2020-06-11,"Same","Same","Same","Same","Same","Up","Up","Up","Up","Up"
2020-06-12,"Up","Up","Up","Up","Up","Up","Up","Up","Up","Up"
2020-06-13,"Up","Up","Up","Up","Up","Up","Up","Up","Up","Up"
2020-06-14,"Up","Up","Up","Up","Up","Up","Up","Up","Up","Up"
2020-06-15,"Up","Down","Up","Up","Up","Up","Down","Up","Up","Up"
2020-06-16,"Up","Up","Up","Up","Up","Up","Up","Up","Up","Up"
2020-06-17,"Up","Up","Up","Up","Up","Up","Up","Up","Up","Up"
2020-06-18,"Up","Up","Up","Up","Up","Up","Up","Up","Up","Up"
2020-06-19,"Up","Up","Up","Up","Up","Up","Up","Up","Up","Up"
2020-06-20,"Up","Up","Up","Up","Up","Up","Up","Up","Up","Up"
2020-06-21,"Up","Up","Up","Up","Up","Up","Up","Up","Up","Up"
2020-06-22,"Up","Up","Up","Up","Up","Up","Up","Up","Up","Up"
2020-06-23,"Up","Up","Up","Up","Up","Up","Up","Up","Up","Up"
2020-06-24,"Up","Up","Up","Up","Up","Same","Same","Same","Same","Same"
2020-06-25,"Up","Up","Up","Up","Up","Up","Up","Up","Up","Up"
2020-06-26,"Up","Up","Up","Up","Up","Up","Up","Up","Up","Up"
2020-06-27,"Up","Up","Up","Up","Up","Up","Up","Up","Up","Up"
2020-06-28,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-06-29,"Up","Up","Up","Up","Up","Up","Up","Up","Up","Up"
2020-06-30,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-07-01,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
